"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c61c483a-cd11-4c11-a5af-f70be2c4d2ef","VIRGIL, AENEID, BOOK 3.txt","Strophades","char-offset:11920","PLACE","http://pleiades.stoa.org/places/142847211","Strophades/Plotai (island group)|Strophades Inss./Plotai Inss., Stamphane Islands","-0550/0640","37.2529449228","21.00743968","island,archipelago","VERIFIED","","","",""
"ae95edd6-4338-49db-ba47-67a7d339e5b4","VIRGIL, AENEID, BOOK 3.txt","Chaonia","char-offset:16443","PLACE","http://pleiades.stoa.org/places/481787","Chaonia","-0330/0300","40.5","19.5","region","VERIFIED","","","",""
"8b453574-3ca2-4e97-8e7c-5144a2025de5","VIRGIL, AENEID, BOOK 3.txt","Chaonia","char-offset:18810","PLACE","http://pleiades.stoa.org/places/481787","Chaonia","-0330/0300","40.5","19.5","region","VERIFIED","","","",""
"d805679d-6e08-45ba-b6db-25881bb001d9","VIRGIL, AENEID, BOOK 3.txt","Charybdis","char-offset:23344","PLACE","http://pleiades.stoa.org/places/462157","Charybdis","-0550/0300","38.260268","15.660384","whirlpool","VERIFIED","","","",""
"6e33abe1-2cb5-4bc6-9b7e-ac295b655cde","VIRGIL, AENEID, BOOK 3.txt","Minerva's temple","char-offset:30233","PLACE","http://pleiades.stoa.org/places/442536","Castrum Minervae/Athenaion/Limen Aphrodites|Castrum Minervae/Athenaion/Limen Aphrodites, Castro","-0550/0640","40.00471","18.42773","settlement,port","VERIFIED","","","",""
"52369b1a-2c86-4171-a1c8-5395d07907bd","VIRGIL, AENEID, BOOK 3.txt","Tarentum","char-offset:31455","PLACE","http://pleiades.stoa.org/places/442810","Taras/Tarentum/Neptunia|Taras/Tarentum/Neptunia, Taranto|Taranto","-0750/0640","40.476034","17.228553","settlement,temple-2","VERIFIED","","","",""
"da2f3de1-a05c-4fe6-8e9f-50d5be1f0176","VIRGIL, AENEID, BOOK 3.txt","Lacinian","char-offset:31542","PLACE","http://pleiades.stoa.org/places/452356","Lacinium (promontory)|Lacinium Pr., Capo Colonna, Crotone","-0030/0300","39.02925","17.20525","cape","VERIFIED","","","",""
"df14bf0f-870e-432c-91b7-923e49fcc50a","VIRGIL, AENEID, BOOK 3.txt","Scylacaean","char-offset:31586","PLACE","http://pleiades.stoa.org/places/452439","Scylletium/Scolacium|Scylletium/Scolacium, Roccelletta, Borgia","-0550/0640","38.807463","16.595392","amphitheatre,cemetery,townhouse,settlement,plaza","VERIFIED","","","",""
"b12f4f23-a924-4006-9597-4202fc2109ad","VIRGIL, AENEID, BOOK 3.txt","Mount Aetna","char-offset:31629","PLACE","http://pleiades.stoa.org/places/462077","Aetna M.|Aetna Mons, Etna","-0750/0640","37.751113","14.9958286","mountain","VERIFIED","","","",""
"866811eb-9c90-4a75-bb68-c729116cf37f","VIRGIL, AENEID, BOOK 3.txt","Charybdis","char-offset:31935","PLACE","http://pleiades.stoa.org/places/462157","Charybdis","-0550/0300","38.260268","15.660384","whirlpool","VERIFIED","","","",""
"0e2b3cfb-43f3-4685-b9e8-0bbfb052fea4","VIRGIL, AENEID, BOOK 3.txt","Thapsus","char-offset:39569","PLACE","http://pleiades.stoa.org/places/462511","Thapsus Pr.|Thapsos|Thapsos, Thapsos, Priolo Gargallo|Thapsus|Thapsus, Ras-Dimas, Bekalta|Thapsus Pr., Penisola Magnisi|Ras-Dimas Amphitheatre","-0750/0640","37.15359","15.22949","settlement,cape","VERIFIED","","","",""
"e6b98136-25d6-4e1e-849e-079a25d0714c","VIRGIL, AENEID, BOOK 3.txt","Megara","char-offset:39581","PLACE","http://pleiades.stoa.org/places/570468","Megara|Megara Hyblaia|Megara Hyblaia/Megara, Megara Hyblaea, Augusta|Megara, Megara|Megaris|Megaris, Megarid","-0750/2100","37.2038","15.18273","region,settlement","VERIFIED","","","",""
"4b3ed628-5fcf-4b99-828c-1480c870860f","VIRGIL, AENEID, BOOK 3.txt","Ortygian","char-offset:39768","PLACE","http://pleiades.stoa.org/places/462402","Ortygia Ins.|Ortygia Ins., Ortigia, Siracusa","-0550/0300","37.0570712","15.29293","island","VERIFIED","","","",""
"0ac6c374-aabe-4cd0-bda2-cb321132cde9","VIRGIL, AENEID, BOOK 3.txt","Cape Pachynus","char-offset:40134","PLACE","http://pleiades.stoa.org/places/462405","Pachynum Pr.|Pachynum Pr., Capo Passero","-0550/2100","36.68882","15.15171","cape","VERIFIED","","","",""
"3493428d-6b42-495e-af1c-e3039a7b94c6","VIRGIL, AENEID, BOOK 3.txt","Camarine","char-offset:40208","PLACE","http://pleiades.stoa.org/places/462126","Camarina|Camarina/Camerina/Kamarina, Camarina, Ragusa","-0750/0640","36.87229","14.44682","sanctuary,settlement-modern,settlement,plaza","VERIFIED","","","",""
"02ac6a36-1304-40ff-8748-e29acf8a9040","VIRGIL, AENEID, BOOK 3.txt","Gela","char-offset:40351","PLACE","http://pleiades.stoa.org/places/462214","Bitalemi|Gela|Gela, Gela|Bitalemi, Gela","-0750/2100","37.062775","14.258433","sanctuary,settlement","VERIFIED","","","",""
"3a83f8a4-d6b4-4121-a482-022fe8faf020","VIRGIL, AENEID, BOOK 3.txt","Agragas","char-offset:40366","PLACE","http://pleiades.stoa.org/places/462086","Akragas/Agrigentum|Akragas/Agrigentum, Agrigento","-0750/2100","37.2918294","13.5858994","cemetery,architecturalcomplex,temple,church,settlement,ekklesiasterion,plaza","VERIFIED","","","",""
"393136c5-51c6-4b60-8a09-50d64ffa843e","VIRGIL, AENEID, BOOK 3.txt","Selinus","char-offset:40459","PLACE","http://pleiades.stoa.org/places/462489","Selinus|Selinus, Marinella di Selinunte, Castelvetrano","-0750/2100","37.58406","12.8249","settlement","VERIFIED","","","",""
"3ce91ae2-99fd-40bf-8b38-ebe12bef05fb","VIRGIL, AENEID, BOOK 3.txt","Lilybaean","char-offset:40508","PLACE","http://pleiades.stoa.org/places/462281","Lilybaeum|Lilybaeum, Capo Boeo, Marsala","-0750/2100","37.7990835","12.434233","settlement","VERIFIED","","","",""
"023f1777-f762-4553-b369-2b65b2761aae","VIRGIL, AENEID, BOOK 3.txt","Drepanum","char-offset:40618","PLACE","http://pleiades.stoa.org/places/462187","Drepanum|Drepanum, Trapani","-0330/2100","38.017128","12.51782","settlement,port","VERIFIED","","","",""
